First author	Study accession	Publication date	Journal	Title	Reported trait	Trait(s)	Discovery sample description	Replication sample description	Association count	Population	Include
Huang J	GCST001394	2/1/12	Eur J Hum Genet	1000 Genomes-based imputation identifies novel and refined associations for the Wellcome Trust Case Control Consortium phase 1 Data.	Type 1 diabetes	type i diabetes mellitus	"16,179 European ancestry individuals"	NA	2	EUR	1
Wallace C	GCST000539	12/6/09	Nat Genet	The imprinted DLK1-MEG3 gene region on chromosome 14q32.2 alters susceptibility to type 1 diabetes.	Type 1 diabetes	type i diabetes mellitus	"7,514 European ancestry cases9,045 European ancestry controls"	"4,840 European ancestry cases2,670 European ancestry controls5,766 European ancestry familial triads"	2	EUR	1
Roshandel D	GCST005435	2/5/18	Diabetologia	Meta-genome-wide association studies identify a locus on chromosome 1 and multiple variants in the MHC region for serum C-peptide in type 1 diabetes.	Stimulated C-peptide levels in type I diabetes	"C-peptide measurement, type i diabetes mellitus"	"1,303 European ancestry individuals"	NA	2	EUR	1
Roshandel D	GCST005436	2/5/18	Diabetologia	Meta-genome-wide association studies identify a locus on chromosome 1 and multiple variants in the MHC region for serum C-peptide in type 1 diabetes.	C-peptide levels in type I diabetes	"C-peptide measurement, type i diabetes mellitus"	"3,479 European ancestry individuals"	NA	4	EUR	1
Roshandel D	GCST005437	2/5/18	Diabetologia	Meta-genome-wide association studies identify a locus on chromosome 1 and multiple variants in the MHC region for serum C-peptide in type 1 diabetes.	Random C-peptide levels in type I diabetes	"C-peptide measurement, type i diabetes mellitus"	"1,497 European ancestry individuals"	NA	1	EUR	1
Roshandel D	GCST005438	2/5/18	Diabetologia	Meta-genome-wide association studies identify a locus on chromosome 1 and multiple variants in the MHC region for serum C-peptide in type 1 diabetes.	Fasting C-peptide levels in type I diabetes	"C-peptide measurement, type i diabetes mellitus"	"2,019 European ancestry individuals"	NA	0	EUR	1
Roshandel D	GCST003418	4/12/16	Diabetes	New Locus for Skin Intrinsic Fluorescence in Type 1 Diabetes Also Associated With Blood and Skin Glycated Proteins.	Skin fluorescence in type 1 diabetes	"skin fluorescence measurement, type i diabetes mellitus"	"1,359 European ancestry cases"	NA	1	EUR	1
Germain M	GCST002716	12/6/14	Diabetologia	"SORBS1 gene, a new candidate for diabetic nephropathy: results from a multi-stage genome-wide association study in patients with type 1 diabetes."	Diabetic nephropathy in type 1 diabetes	"diabetic retinopathy, type i diabetes mellitus"	683 European ancestry cases779 European ancestry controls	"2,962 European ancestry cases3,379 European ancestry controls"	1	EUR	1
Hotaling JM	GCST001572	6/13/12	J Urol	Pilot genome-wide association search identifies potential loci for risk of erectile dysfunction in type 1 diabetes using the DCCT/EDIC study cohort.	Erectile dysfunction in type 1 diabetes	"erectile dysfunction, type i diabetes mellitus"	125 European ancestry cases403 European ancestry controls	NA	6	EUR	1
Howson JM	GCST001479	4/12/12	Diabetologia	Genetic association of zinc transporter 8 (ZnT8) autoantibodies in type 1 diabetes cases.	Type 1 diabetes autoantibodies	"type i diabetes mellitus, autoantibody measurement"	"Up to 2,142 European ancestry cases"	855 European ancestry affected family members	0	EUR	1
Plagnol V	GCST004383	8/4/11	PLoS Genet	Genome-wide association analysis of autoantibody positivity in type 1 diabetes cases.	Thyroid peroxidase autoantibody levels in type 1 diabetes	"thyroid peroxidase antibody measurement, type i diabetes mellitus"	"8,300 European ancestry cases"	NA	1	EUR	1
Plagnol V	GCST004382	8/4/11	PLoS Genet	Genome-wide association analysis of autoantibody positivity in type 1 diabetes cases.	Gastric parietal cell autoantibody levels in type 1 diabetes	"autoantibody measurement, type i diabetes mellitus"	"4,328 European ancestry cases"	NA	1	EUR	1
Plagnol V	GCST004381	8/4/11	PLoS Genet	Genome-wide association analysis of autoantibody positivity in type 1 diabetes cases.	Insulinoma-associated antigen 2 autoantibody levels in type 1 diabetes	"autoantibody measurement, type i diabetes mellitus"	"2,498 European ancestry cases"	"3,897 sibling cases"	1	EUR	1
Plagnol V	GCST004380	8/4/11	PLoS Genet	Genome-wide association analysis of autoantibody positivity in type 1 diabetes cases.	Glutamate decarboxylase autoantibody levels in type 1 diabetes	"autoantibody measurement, type i diabetes mellitus"	"2,506 European ancestry cases"	NA	0	EUR	1
Hakonarson H	GCST000141	1/15/08	Diabetes	A novel susceptibility locus for type 1 diabetes on Chr12q13 identified by a genome-wide association study.	Type 1 diabetes	type i diabetes mellitus	"467 European ancestry trios561 European ancestry cases1,143 European ancestry controls"	"946 European ancestry cases and 1,098 European ancestry controls from 549 families364 European ancestry trios"	1	EUR	1
Meng W	GCST004724	7/3/17	Br J Dermatol	A genome-wide association study suggests that MAPK14 is associated with diabetic foot ulcers.	Foot ulcer in diabetes and neuropathy	"diabetic foot, neuropathy, type i diabetes mellitus, type ii diabetes mellitus"	"662 European ancestry type 2 diabetes cases37 European ancestry type 1 diabetes cases2,584 European ancestry type 2 diabetes controls111 European ancestry type 1 diabetes controls"	NA	2	EUR	1
Meng W	GCST004725	7/3/17	Br J Dermatol	A genome-wide association study suggests that MAPK14 is associated with diabetic foot ulcers.	Foot ulcer and neuropathy in diabetes	"neuropathy, diabetic foot, type i diabetes mellitus, type ii diabetes mellitus"	"662 European ancestry type 2 diabetes and neuropathy cases37 European ancestry type 1 diabetes and neuropathy cases4,250 European ancestry type 1 and type 2 diabetes controls"	NA	3	EUR	1
Charmet R	GCST006281	4/25/18	Cardiovasc Diabetol	Novel risk genes identified in a genome-wide association study for coronary artery disease in patients with type 1 diabetes.	Coronary artery disease in type 1 diabetes	"coronary artery disease, type i diabetes mellitus"	"434 European ancestry cases with coronary artery disease3,123 European ancestry cases without coronary artery disease"	"585 cases with coronary artery disease2,612 cases without coronary artery disease"	19	EUR	1
Sharma A	GCST006196	1/5/18	J Autoimmun	Identification of non-HLA genes associated with development of islet autoimmunity and type 1 diabetes in the prospective TEDDY cohort.	Type 1 diabetes in high risk HLA genotype individuals (time to event)	"disease free survival, type i diabetes mellitus, carrier status"	"5,806 European ancestry children"	NA	5	EUR	1
Sharma A	GCST006197	1/5/18	J Autoimmun	Identification of non-HLA genes associated with development of islet autoimmunity and type 1 diabetes in the prospective TEDDY cohort.	Type 1 diabetes autoantibodies in high risk HLA genotype individuals (time to event)	"autoantibody measurement, carrier status, event free survival time, type i diabetes mellitus"	"5,806 European ancestry children"	NA	7	EUR	1
