naive	form
ENSMUSG00000102693	0	0
ENSMUSG00000064842	0	0
ENSMUSG00000051951	0.0112256812892777	3.0378061834081
ENSMUSG00000102851	0	0
ENSMUSG00000103377	0	0.451924666564783
ENSMUSG00000104017	0	0.39857197798973
ENSMUSG00000103025	0	0.26936882202237
ENSMUSG00000089699	0	0
ENSMUSG00000103201	0	0.626537512862604
ENSMUSG00000103147	0	0.0317357627812746
ENSMUSG00000103161	0	0.464115537619135
ENSMUSG00000102331	0.0168781148902386	1.4731869062132
ENSMUSG00000102348	0	0
ENSMUSG00000102592	0	0
ENSMUSG00000088333	0	0
ENSMUSG00000102343	0.0341436222830361	0.0215449533251175
ENSMUSG00000025900	0.00156045766814403	0.00557081432226955
ENSMUSG00000102948	0	0
ENSMUSG00000104123	0	0
ENSMUSG00000025902	0.337243598560812	0.0265325427377581
ENSMUSG00000104238	0	0
ENSMUSG00000102269	0.0110893933281479	0
ENSMUSG00000096126	0	0.287607932659973
ENSMUSG00000103003	0	0
ENSMUSG00000104328	0	0.0110977456886466
ENSMUSG00000102735	0.0205243529407277	0.0366358414110366
ENSMUSG00000098104	5.05830188380318	3.29169263090004
ENSMUSG00000102175	0	0.05280137968175
ENSMUSG00000088000	0	0
ENSMUSG00000103265	0	0.0465726090894775
ENSMUSG00000103922	0.280149502716085	0.0287876976563303
ENSMUSG00000033845	30.1922583722337	19.4954830644141
ENSMUSG00000102275	1.39474738287059	0.721490135189904
ENSMUSG00000025903	19.8914411641189	8.63207688909938
ENSMUSG00000104217	0	0
ENSMUSG00000033813	13.9847669373938	10.1798638444949
ENSMUSG00000062588	0.0593614959780537	0.35847757116106
ENSMUSG00000103280	0	0.114632698282971
ENSMUSG00000002459	0.145698602363084	0.383584808557785
ENSMUSG00000091305	0	0
ENSMUSG00000102653	0.0218135366716915	0.0868327525131157
ENSMUSG00000085623	0.0288281734830333	0.00826148960929317
ENSMUSG00000091665	0	0.0215939216377394
ENSMUSG00000033793	13.5089976614862	11.1874817888641
ENSMUSG00000104352	0	0
ENSMUSG00000104046	0.00727695819317474	0
ENSMUSG00000102907	0	0
ENSMUSG00000025905	0.0568306174030208	0.270743731328742
ENSMUSG00000103936	0	0
ENSMUSG00000093015	0	0
ENSMUSG00000103519	0	0
ENSMUSG00000033774	0.0133257062362777	0
ENSMUSG00000103090	0	0
ENSMUSG00000025907	5.41823963399596	8.27653610466241
ENSMUSG00000090031	0.516626372456386	0.905747756103741
ENSMUSG00000087247	0.0197845461920918	0.18806844665004
ENSMUSG00000103355	0	0
ENSMUSG00000102706	0	0
ENSMUSG00000103845	0.0158035240948196	0.0546754212036503
ENSMUSG00000033740	0	0
ENSMUSG00000103329	0	0
ENSMUSG00000104385	0	0.0464163631894677
ENSMUSG00000102135	0.341744845306697	0.443626314695452
ENSMUSG00000103282	0	0
ENSMUSG00000102534	0	0
ENSMUSG00000102213	0.120822605990699	0
ENSMUSG00000103629	0	0
ENSMUSG00000051285	13.700587252828	11.8444554673595
ENSMUSG00000098201	0.444149541454319	0.239860258328997
ENSMUSG00000103509	4.49068666382745	4.05535613385356
ENSMUSG00000048538	0.0443667306062844	0.0527962241119788
ENSMUSG00000103709	0	0.165097282783485
ENSMUSG00000077244	0	0
ENSMUSG00000102768	0	0
ENSMUSG00000097797	0.231839414969177	0.33766111130932
ENSMUSG00000103498	0	0
ENSMUSG00000103067	0.0738922881282759	0
ENSMUSG00000102320	0	0
ENSMUSG00000104226	0	0
ENSMUSG00000103903	0.0188242766427301	0
ENSMUSG00000103557	0	0
ENSMUSG00000025909	0.0060306834567824	0.0275767166896211
ENSMUSG00000102647	0	0
ENSMUSG00000086235	0	0.0734682908386507
ENSMUSG00000102253	0	0.0083155960202208
ENSMUSG00000093970	0	0
ENSMUSG00000103884	0	0
ENSMUSG00000084353	0.0691007821760218	0.271104984813947
ENSMUSG00000103933	2.67395062396633	2.59012259949088
ENSMUSG00000076135	0	0.311737705097548
ENSMUSG00000086195	0	0
ENSMUSG00000104504	0	0
ENSMUSG00000066693	0	0.101722785776662
ENSMUSG00000102316	0	0
ENSMUSG00000103819	0	0
ENSMUSG00000102871	0	0
ENSMUSG00000101571	0.0400224882344191	0
ENSMUSG00000104428	0	0
ENSMUSG00000102272	0	0
ENSMUSG00000065625	0	0
ENSMUSG00000103411	0	0.0218876591711359
ENSMUSG00000061024	40.2313611208256	37.9876266726379
ENSMUSG00000025911	1.43457938269011	0.265960209166537
ENSMUSG00000079671	0.0033776349739807	0.00598519680966605
ENSMUSG00000081441	0	0
ENSMUSG00000067879	0	0
ENSMUSG00000099827	0	0
ENSMUSG00000025912	7.45670592951117	5.1041068247945
ENSMUSG00000045210	8.84280808077098	8.7506109034024
ENSMUSG00000097893	0.111414918882669	0.0189534449116158
ENSMUSG00000025915	4.94433527144467	1.07996698788072
