"V1"	"V2"	"V3"	"V4"
"1"	"chr1"	"1156016"	"1161016"	"452"
"2"	"chr1"	"1069046"	"1083958"	"644"
"3"	"chr1"	"1109733"	"1122642"	"961"
"4"	"chr1"	"1109733"	"1122642"	"962"
"5"	"chr1"	"1109733"	"1122642"	"963"
"6"	"chr1"	"1545983"	"1552729"	"4017"
"7"	"chr1"	"1545983"	"1552729"	"4019"
"8"	"chr1"	"2335725"	"2351765"	"6313"
"9"	"chr1"	"2357805"	"2387104"	"6686"
"10"	"chr1"	"3531260"	"3544978"	"9885"
"11"	"chr1"	"3531260"	"3544978"	"9901"
"12"	"chr1"	"3684191"	"3689191"	"10626"
"13"	"chr1"	"3699787"	"3704787"	"10628"
"14"	"chr1"	"3705943"	"3720839"	"10630"
"15"	"chr1"	"3722387"	"3735458"	"10632"
"16"	"chr1"	"3740405"	"3745877"	"10634"
"17"	"chr1"	"6103546"	"6116901"	"15439"
"18"	"chr1"	"6188102"	"6193102"	"15454"
"19"	"chr1"	"6255774"	"6260774"	"17456"
"20"	"chr1"	"6255774"	"6260774"	"17473"
"21"	"chr1"	"6255774"	"6260774"	"17474"
"22"	"chr1"	"6258535"	"6274327"	"17842"
"23"	"chr1"	"6258535"	"6274327"	"17844"
"24"	"chr1"	"6258535"	"6274327"	"17860"
"25"	"chr1"	"6282618"	"6287618"	"18655"
"26"	"chr1"	"6282618"	"6287618"	"18670"
"27"	"chr1"	"6592594"	"6597594"	"21034"
"28"	"chr1"	"6683494"	"6688494"	"23035"
"29"	"chr1"	"7892760"	"7897760"	"27238"
"30"	"chr1"	"7892760"	"7897760"	"27584"
"31"	"chr1"	"8264500"	"8269500"	"31020"
"32"	"chr1"	"8375879"	"8381244"	"31284"
"33"	"chr1"	"8375879"	"8381244"	"31285"
"34"	"chr1"	"8375879"	"8381244"	"31286"
"35"	"chr1"	"8375879"	"8381244"	"31291"
"36"	"chr1"	"8375879"	"8381244"	"31292"
"37"	"chr1"	"8758320"	"8763320"	"33326"
"38"	"chr1"	"8760788"	"8765788"	"33327"
"39"	"chr1"	"8760788"	"8765788"	"34154"
"40"	"chr1"	"8763612"	"8768612"	"34155"
"41"	"chr1"	"8810397"	"8815397"	"34168"
"42"	"chr1"	"9147086"	"9152086"	"38768"
"43"	"chr1"	"9147086"	"9152086"	"38771"
"44"	"chr1"	"9147086"	"9152086"	"38773"
"45"	"chr1"	"9147086"	"9152086"	"38776"
