DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2010-09-13	20694148	Zabaneh D	2010-08-04	PLoS One	www.ncbi.nlm.nih.gov/pubmed/20694148	A genome-wide association study of the metabolic syndrome in Indian Asian men.	Metabolic syndrome	2,554 Indian Asian ancestry individuals	2,240 Indian Asian ancestry individuals	10q24.2	10	97877821	CRTAC1	CRTAC1			55118			rs531676-?	rs531676	0	531676	intron_variant	0	0.45	9E-6	5.045757490560675	(T2D)			Illumina [308011]	N	type II diabetes mellitus, metabolic syndrome	http://www.ebi.ac.uk/efo/EFO_0001360, http://www.ebi.ac.uk/efo/EFO_0000195	GCST000753	Genome-wide genotyping array
2010-09-13	20694148	Zabaneh D	2010-08-04	PLoS One	www.ncbi.nlm.nih.gov/pubmed/20694148	A genome-wide association study of the metabolic syndrome in Indian Asian men.	Metabolic syndrome	2,554 Indian Asian ancestry individuals	2,240 Indian Asian ancestry individuals	10q25.2	10	112998590	TCF7L2	TCF7L2			6934			rs7903146-A	rs7903146	0	7903146	intron_variant	0	0.30	7E-7	6.154901959985743	(T2D)	1.33	[1.19-1.49]	Illumina [308011]	N	type II diabetes mellitus, metabolic syndrome	http://www.ebi.ac.uk/efo/EFO_0001360, http://www.ebi.ac.uk/efo/EFO_0000195	GCST000753	Genome-wide genotyping array
2012-03-10	22293688	Huang J	2012-02-01	Eur J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/22293688	1000 Genomes-based imputation identifies novel and refined associations for the Wellcome Trust Case Control Consortium phase 1 Data.	Type 2 diabetes	16,179 European ancestry individuals	NA	9p21.3	9	22137686	CDKN2B	CDKN2B-AS1 - DMRTA1	100048912	63951		16589	309155	rs7018475-?	rs7018475	0	7018475	intergenic_variant	1	NR	3E-8	7.522878745280337		1.35	[1.18-1.56]	NR [6233112] (imputed)	N	type II diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0001360	GCST001397	Genome-wide genotyping array
2015-07-27	25483131	Ghassibe-Sabbagh M	2014-12-08	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/25483131	T2DM GWAS in the Lebanese population confirms the role of TCF7L2 and CDKAL1 in disease susceptibility.	Type 2 diabetes	1,384 Lebanese ancestry cases, 1,902 Lebanese ancestry controls	NA	6p22.3	6	20686342	CDKAL1	CDKAL1			54901			rs7766070-A	rs7766070	0	7766070	intron_variant	0	0.29	9E-9	8.045757490560675		1.38	[1.24-1.54]	Illumina [5891794] (imputed)	N	type II diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0001360	GCST002718	Genome-wide genotyping array
2015-07-27	25483131	Ghassibe-Sabbagh M	2014-12-08	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/25483131	T2DM GWAS in the Lebanese population confirms the role of TCF7L2 and CDKAL1 in disease susceptibility.	Type 2 diabetes	1,384 Lebanese ancestry cases, 1,902 Lebanese ancestry controls	NA	9q22.31	9	91633578	ROR2	PAICSP2 - MIR3910-1	780815	100500821		21047	2673	rs1873747-T	rs1873747	0	1873747	intron_variant	1	0.13	4E-6	5.3979400086720375		1.41	[1.22-1.63]	Illumina [5891794] (imputed)	N	type II diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0001360	GCST002718	Genome-wide genotyping array
2015-07-27	25483131	Ghassibe-Sabbagh M	2014-12-08	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/25483131	T2DM GWAS in the Lebanese population confirms the role of TCF7L2 and CDKAL1 in disease susceptibility.	Type 2 diabetes	1,384 Lebanese ancestry cases, 1,902 Lebanese ancestry controls	NA	10q25.2	10	112994312	TCF7L2	TCF7L2			6934			rs34872471-C	rs34872471	0	34872471	intron_variant	0	0.40	8E-8	7.096910013008056		1.32	[1.19-1.46]	Illumina [5891794] (imputed)	N	type II diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0001360	GCST002718	Genome-wide genotyping array
2015-07-27	25483131	Ghassibe-Sabbagh M	2014-12-08	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/25483131	T2DM GWAS in the Lebanese population confirms the role of TCF7L2 and CDKAL1 in disease susceptibility.	Type 2 diabetes	1,384 Lebanese ancestry cases, 1,902 Lebanese ancestry controls	NA	18q11.2	18	24259188	OSBPL1A	OSBPL1A			114876			rs275856-T	rs275856	0	275856	intron_variant	0	0.11	1E-6	6.0		1.51	[1.28-1.77]	Illumina [5891794] (imputed)	N	type II diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0001360	GCST002718	Genome-wide genotyping array
2011-05-24	21490949	Sim X	2011-04-07	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/21490949	Transferability of type 2 diabetes implicated loci in multi-ethnic cohorts from Southeast Asia.	Type 2 diabetes	2,010 Chinese ancestry cases, 1,945 Chinese ancestry controls, 794 Malay ancestry cases, 1,240 Malay ancestry controls, 977 Asian Indian ancestry cases, 1,169 Asian Indian ancestry controls	NA	15q24.3	15	77485290	HMG20A	HMG20A			10363			rs7119-T	rs7119	0	7119	3_prime_UTR_variant	0	0.19	5E-7	6.301029995663981	(Chinese+Malay+Indian)	1.24	[1.14-1.34]	Illumina [~ 2000000] (imputed)	N	type II diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0001360	GCST001033	Genome-wide genotyping array
2011-05-24	21490949	Sim X	2011-04-07	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/21490949	Transferability of type 2 diabetes implicated loci in multi-ethnic cohorts from Southeast Asia.	Type 2 diabetes	2,010 Chinese ancestry cases, 1,945 Chinese ancestry controls, 794 Malay ancestry cases, 1,240 Malay ancestry controls, 977 Asian Indian ancestry cases, 1,169 Asian Indian ancestry controls	NA	3q12.3	3	102484201	ZPLD1	ZPLD1 - LOC105374016	131368	105374016		4360	83832	rs2063640-A	rs2063640	0	2063640	intergenic_variant	1	0.17	3E-6	5.522878745280337	(Chinese+Malay+Indian)	1.23	[1.13-1.34]	Illumina [~ 2000000] (imputed)	N	type II diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0001360	GCST001033	Genome-wide genotyping array
2011-05-24	21490949	Sim X	2011-04-07	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/21490949	Transferability of type 2 diabetes implicated loci in multi-ethnic cohorts from Southeast Asia.	Type 2 diabetes	2,010 Chinese ancestry cases, 1,945 Chinese ancestry controls, 794 Malay ancestry cases, 1,240 Malay ancestry controls, 977 Asian Indian ancestry cases, 1,169 Asian Indian ancestry controls	NA	21q22.11	21	32012873	HUNK	HUNK - LINC00159	30811	100551499		8809	67608	rs2833610-A	rs2833610	0	2833610	intron_variant	1	0.57	4E-6	5.3979400086720375	(Chinese+Malay+Indian)	1.17	[1.09-1.24]	Illumina [~ 2000000] (imputed)	N	type II diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0001360	GCST001033	Genome-wide genotyping array
